web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669048173-149","https://shopee.co.id/mall/brands/11042849","Srseven7","https://shopee.co.id/srseven7_official","","12","69% (hitungan jam)","60","4.7 (20 penilaian)","11 bulan lalu","null","KAB. KUDUS","43%offSRSEVEN7 Celana Chino Panjang Pria Big SizeDiskon Rp5RBPilih 2, bayar Rp195.000Rp200.000Rp114.00026 TerjualKAB. KUDUS","https://shopee.co.id/SRSEVEN7-Celana-Chino-Panjang-Pria-Big-Size-i.628042310.14393895856?sp_atk=2437fc6c-5360-4624-b64e-bf87ee4e0da3&xptdk=2437fc6c-5360-4624-b64e-bf87ee4e0da3","null","null","null","null","null"
"1669048197-150","https://shopee.co.id/mall/brands/11042849","Sports Station","https://shopee.co.id/sportsstationofficialshop","","7,4RB","86% (hitungan jam)","1,2JT","4.9 (331,4RB penilaian)","32 bulan lalu","null","KOTA BEKASI","Converse Chuck Taylor All Star Original Unisex Sneakers Shoes - BlackRp759.0002RB TerjualKOTA BEKASI","https://shopee.co.id/Converse-Chuck-Taylor-All-Star-Original-Unisex-Sneakers-Shoes-Black-i.234490784.6327773089?sp_atk=a38b3660-9167-4f51-9bb1-9c0886fd659d&xptdk=a38b3660-9167-4f51-9bb1-9c0886fd659d","null","null","null","null","null"
"1669048224-151","https://shopee.co.id/mall/brands/11042849","Spasmodic","https://shopee.co.id/spasmodicstore","","195","79% (hitungan jam)","35,1RB","4.6 (15,3RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","62%offSpasmodic Crewneck Black KeepMurah LebayRp95.000 - Rp98.8003,2RB TerjualKOTA BANDUNG","https://shopee.co.id/Spasmodic-Crewneck-Black-Keep-i.181335942.2881412316?sp_atk=740f541b-8067-44ef-96c6-01a4a756c3e1&xptdk=740f541b-8067-44ef-96c6-01a4a756c3e1","null","null","null","null","null"
"1669048247-152","https://shopee.co.id/mall/brands/11042849","Soybeen Brands","https://shopee.co.id/soybeenbrands","","58","45% (hitungan menit)","712","5.0 (27 penilaian)","3 tahun lalu","null","KAB. TANGERANG","50%offSOYBEEN BRANDS Hoddie butterflyPilih 2, diskon 30%Rp200.000Rp100.0002 TerjualKAB. TANGERANG","https://shopee.co.id/SOYBEEN-BRANDS-Hoddie-butterfly-i.153039429.11401345795?sp_atk=b213d933-cd6a-4100-9d40-654625708109&xptdk=b213d933-cd6a-4100-9d40-654625708109","null","null","null","null","null"
"1669048271-153","https://shopee.co.id/mall/brands/11042849","Soulfifteen","https://shopee.co.id/soulfifteen.official","","315","76% (hitungan jam)","190,1RB","4.8 (72,1RB penilaian)","31 bulan lalu","null","KOTA BANDUNG","59%offSoulfifteen Footwear Sandal Twopipe - Black WhiteDiskon Rp15RBRp149.000 - Rp159.0002,7RB TerjualKOTA BANDUNG","https://shopee.co.id/Soulfifteen-Footwear-Sandal-Twopipe-Black-White-i.250709169.11427855504?sp_atk=c5beb31c-a412-4d5d-9d8b-8b1fa7036a14&xptdk=c5beb31c-a412-4d5d-9d8b-8b1fa7036a14","null","null","null","null","null"
"1669048293-154","https://shopee.co.id/mall/brands/11042849","Someone","https://shopee.co.id/someone.official","","358","95% (hitungan jam)","27,9RB","4.8 (25,6RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","53%offSomeone T Shirt Glow In The Dark Black 012D CatPilih 2, diskon Rp2.000Rp160.000Rp74.90010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Someone-T-Shirt-Glow-In-The-Dark-Black-012D-Cat-i.82550139.2375249819?sp_atk=56e0088c-4b1b-4fae-a844-5ba259ad210a&xptdk=56e0088c-4b1b-4fae-a844-5ba259ad210a","null","null","null","null","null"
"1669048317-155","https://shopee.co.id/mall/brands/11042849","Smooth Basic","https://shopee.co.id/smooth.basic","","215","100% (hitungan jam)","51,2RB","4.9 (36,1RB penilaian)","20 bulan lalu","null","KOTA BANDUNG","56%offSMOOTH BASIC Oversize The Finest Series - BlackRp180.000Rp79.9003,3RB TerjualKOTA BANDUNG","https://shopee.co.id/SMOOTH-BASIC-Oversize-The-Finest-Series-Black-i.414894640.10231308537?sp_atk=6f131ba1-4b80-4799-b254-26db2a5c42ac&xptdk=6f131ba1-4b80-4799-b254-26db2a5c42ac","null","null","null","null","null"
"1669048346-156","https://shopee.co.id/mall/brands/11042849","Smith Berlin","https://shopee.co.id/smith_berlin","","71","98% (hitungan jam)","82,9RB","4.8 (23,6RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","52%offSmith Berlin Jaket Bomber Pria Origin SeriesDiskon Rp15RBRp500.000Rp239.0003RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Smith-Berlin-Jaket-Bomber-Pria-Origin-Series-i.29664716.5549393992?sp_atk=3449bd34-be68-4c2b-83fb-0aded11c45ce&xptdk=3449bd34-be68-4c2b-83fb-0aded11c45ce","null","null","null","null","null"
"1669048370-157","https://shopee.co.id/mall/brands/11042849","Sleazy","https://shopee.co.id/sleazy.id","","36","5%","1,3RB","4.9 (415 penilaian)","13 bulan lalu","null","KOTA JAKARTA UTARA","Sleazy Dog Black HoodieRp235.000129 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/Sleazy-Dog-Black-Hoodie-i.579325641.13541606862?sp_atk=88a21364-461a-4544-bc30-0649d8ee6607&xptdk=88a21364-461a-4544-bc30-0649d8ee6607","null","null","null","null","null"
"1669048394-158","https://shopee.co.id/mall/brands/11042849","Skymo","https://shopee.co.id/skymoapparelofficial","","694","75% (hitungan jam)","189,3RB","4.8 (46,4RB penilaian)","4 tahun lalu","null","KOTA BOGOR","38%offSkymo Apparel Tshirt Aerox WhitePilih 3, bayar Rp250.000Rp155.000Rp96.1003,3RB TerjualKOTA BOGOR","https://shopee.co.id/Skymo-Apparel-Tshirt-Aerox-White-i.83381734.8052580217?sp_atk=e6d2caf4-29de-4de8-8773-e8c43572f388&xptdk=e6d2caf4-29de-4de8-8773-e8c43572f388","null","null","null","null","null"
"1669048418-159","https://shopee.co.id/mall/brands/11042849","Skylar","https://shopee.co.id/skylar.inc","","null","50% (hitungan jam)","278","4.8 (1RB penilaian)","3 tahun lalu","null","KOTA BEKASI","Skylar Sk-24Rp100.00017 TerjualKOTA BEKASI","https://shopee.co.id/Skylar-Sk-24-i.152460446.18434340011?sp_atk=f3b0bd2e-7b93-4211-92b9-79b1fb491d0d&xptdk=f3b0bd2e-7b93-4211-92b9-79b1fb491d0d","null","null","null","null","null"
"1669048440-160","https://shopee.co.id/mall/brands/11042849","Skill Monky","https://shopee.co.id/skillmonkyofficialshop","","47","59% (hitungan jam)","2,7RB","4.9 (152 penilaian)","34 bulan lalu","null","KOTA TANGERANG SELATAN","Skill Monky Card Black T-shirt (Unisex)Diskon Rp12RBRp200.00017 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Skill-Monky-Card-Black-T-shirt-(Unisex)-i.222784743.7415989758?sp_atk=8539b5e1-e804-44ea-9e6e-f264ab9dd086&xptdk=8539b5e1-e804-44ea-9e6e-f264ab9dd086","null","null","null","null","null"
"1669048466-161","https://shopee.co.id/mall/brands/11042849","Skelly","https://shopee.co.id/skellyofficial","","300","79% (hitungan jam)","19,9RB","4.9 (5,7RB penilaian)","5 tahun lalu","null","KOTA JAKARTA SELATAN","64%offSKELLY Jaket Hoodie Pria Wanita Logo Hooded Zip AbuDiskon Rp50RBRp549.000Rp199.000142 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/SKELLY-Jaket-Hoodie-Pria-Wanita-Logo-Hooded-Zip-Abu-i.63957750.6604532404?sp_atk=bcb57845-273a-4a9a-b992-b25d77ac00dd&xptdk=bcb57845-273a-4a9a-b992-b25d77ac00dd","null","null","null","null","null"
"1669048497-162","https://shopee.co.id/mall/brands/11042849","Skaters","https://shopee.co.id/skaters.official","","1,2RB","96% (hitungan jam)","127,5RB","4.8 (38,2RB penilaian)","5 tahun lalu","null","KOTA CIMAHI","20%offSkaters Jacket Parka TK032 Black UE054(XXL)Diskon Rp5RBRp225.000 - Rp240.000502 TerjualKOTA CIMAHI","https://shopee.co.id/Skaters-Jacket-Parka-TK032-Black-UE054(XXL)-i.34532428.4072366147?sp_atk=bf1b40ce-a47d-4e60-931b-abffccfe29dc&xptdk=bf1b40ce-a47d-4e60-931b-abffccfe29dc","null","null","null","null","null"
"1669048521-163","https://shopee.co.id/mall/brands/11042849","SIPOLOS PREMIUM BASIC TEES","https://shopee.co.id/sipolos","","152","85% (hitungan jam)","215,2RB","4.8 (174,3RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","43%offSipolos Kaos Polos Pria Wanita Lengan Pendek Cotton Twotone Regular FitRp39.900 - Rp49.00010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Sipolos-Kaos-Polos-Pria-Wanita-Lengan-Pendek-Cotton-Twotone-Regular-Fit-i.22975367.362062448?sp_atk=f3b7efee-ad8c-4db9-9b29-b11ea575e30e&xptdk=f3b7efee-ad8c-4db9-9b29-b11ea575e30e","null","null","null","null","null"
"1669048547-164","https://shopee.co.id/mall/brands/11042849","Simple Perfect","https://shopee.co.id/simple.perfect","","null","100% (hitungan jam)","51,9RB","4.9 (27RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","68%offCasella Baju Koko Pria Lengan Panjang Exclusive Premium | Baju Koko Putih Lengan PanjangDiskon Rp30RBRp559.900Rp179.9507,3RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/Casella-Baju-Koko-Pria-Lengan-Panjang-Exclusive-Premium-Baju-Koko-Putih-Lengan-Panjang-i.38555871.4917007087?sp_atk=df35c8f1-0851-4b82-9ce8-4bcb06a26043&xptdk=df35c8f1-0851-4b82-9ce8-4bcb06a26043","null","null","null","null","null"
"1669048572-165","https://shopee.co.id/mall/brands/11042849","Sigab","https://shopee.co.id/sigabstore","","212","96% (hitungan menit)","17,2RB","4.6 (1,6RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","68%offSigab Store Kemeja Pria Shanghai Polos Pendek Hitam 1510SDiskon Rp5RBRp359.000Rp114.8801,3RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Sigab-Store-Kemeja-Pria-Shanghai-Polos-Pendek-Hitam-1510S-i.62158261.11817735183?sp_atk=8248a524-a550-4760-87e7-fc8b084ff760&xptdk=8248a524-a550-4760-87e7-fc8b084ff760","null","null","null","null","null"
"1669048599-166","https://shopee.co.id/mall/brands/11042849","Sideways","https://shopee.co.id/sidewaysofficial","","73","97% (hitungan jam)","2,7RB","4.9 (298 penilaian)","32 bulan lalu","null","KOTA BANDUNG","19%offSideways Haiku TotebagRp179.000Rp145.000124 TerjualKOTA BANDUNG","https://shopee.co.id/Sideways-Haiku-Totebag-i.236401502.10347460159?sp_atk=7e7e5624-dfe9-4674-b457-016ff420b731&xptdk=7e7e5624-dfe9-4674-b457-016ff420b731","null","null","null","null","null"
"1669048625-167","https://shopee.co.id/mall/brands/11042849","Shining Bright","https://shopee.co.id/shiningbrightofficial","","1,6RB","98% (hitungan jam)","287,1RB","4.8 (123,7RB penilaian)","4 tahun lalu","null","KOTA TANGERANG SELATAN","56%offShining Bright Rev Tshirt - BlackDiskon Rp5RBPilih 2, bayar Rp150.000Rp200.000Rp88.0004,4RB TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Shining-Bright-Rev-Tshirt-Black-i.79135142.8432165302?sp_atk=9a2b0e4c-556d-45c5-bb26-abea4f6d4f67&xptdk=9a2b0e4c-556d-45c5-bb26-abea4f6d4f67","null","null","null","null","null"
"1669048649-168","https://shopee.co.id/mall/brands/11042849","Shikat Miring","https://shopee.co.id/shikatmiring.id","","133","85% (hitungan jam)","10,8RB","4.6 (2,7RB penilaian)","5 tahun lalu","null","KOTA CIMAHI","Shikat Miring Hoodie Alpha  LogoRp180.000535 TerjualKOTA CIMAHI","https://shopee.co.id/Shikat-Miring-Hoodie-Alpha-Logo-i.44503882.1869570441?sp_atk=e41c1cfd-4f47-4502-841c-c4b96669d3e7&xptdk=e41c1cfd-4f47-4502-841c-c4b96669d3e7","null","null","null","null","null"
"1669048673-169","https://shopee.co.id/mall/brands/11042849","Sharks","https://shopee.co.id/sharksclothing","","765","82% (hitungan jam)","12RB","4.9 (7RB penilaian)","5 tahun lalu","null","KAB. BANDUNG","50%offSharks - Typo Series tshirt - Hitam [SGB103655000]Rp169.900Rp84.950110 TerjualKAB. BANDUNG","https://shopee.co.id/Sharks-Typo-Series-tshirt-Hitam-SGB103655000--i.52875066.5962444323?sp_atk=8bddeac3-601c-4b82-a9da-f13f35685112&xptdk=8bddeac3-601c-4b82-a9da-f13f35685112","null","null","null","null","null"
"1669048696-170","https://shopee.co.id/mall/brands/11042849","Seyes","https://shopee.co.id/seyes.id","","572","74% (hitungan jam)","24,8RB","4.8 (11,2RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","54%offCrewneck Unisex SEYES 1079  Sweatshirt Sweater Baju Lengan Panjang Pria Babyterry PremiumDiskon Rp2RBRp159.900Rp73.900182 TerjualKOTA TANGERANG","https://shopee.co.id/Crewneck-Unisex-SEYES-1079-Sweatshirt-Sweater-Baju-Lengan-Panjang-Pria-Babyterry-Premium-i.31620766.1931256110?sp_atk=afa1d3aa-b02b-4f89-8e71-f85976adccb0&xptdk=afa1d3aa-b02b-4f89-8e71-f85976adccb0","null","null","null","null","null"
"1669048724-171","https://shopee.co.id/mall/brands/11042849","Seventyfour","https://shopee.co.id/seventyfourco.","","699","77% (hitungan jam)","20,7RB","4.8 (7,3RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","44%offSeventyfour Chino BlackDiskon Rp20RBRp355.000Rp198.800416 TerjualKOTA BANDUNG","https://shopee.co.id/Seventyfour-Chino-Black-i.121758550.7701739271?sp_atk=043f5db2-9d7d-4714-9663-c74da6a93c79&xptdk=043f5db2-9d7d-4714-9663-c74da6a93c79","null","null","null","null","null"
"1669048748-172","https://shopee.co.id/mall/brands/11042849","Sepiak Belitong","https://shopee.co.id/sepiakbelitong","","162","55% (hitungan jam)","596","4.9 (272 penilaian)","4 tahun lalu","null","KAB. BELITUNG","Sepiak Belitong Tunik Motif KerangDiskon 1%Rp215.0001 TerjualKAB. BELITUNG","https://shopee.co.id/Sepiak-Belitong-Tunik-Motif-Kerang-i.94272547.9788598012?sp_atk=4c511a1f-74f1-430f-bb98-43a348c090a9&xptdk=4c511a1f-74f1-430f-bb98-43a348c090a9","null","null","null","null","null"
"1669048771-173","https://shopee.co.id/mall/brands/11042849","Sekut","https://shopee.co.id/sekut.co.id","","90","48% (hitungan jam)","9,3RB","4.9 (3,6RB penilaian)","27 bulan lalu","null","KOTA JAKARTA SELATAN","Sekut Wear - Motor Bangor BandanaRp105.00016 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Sekut-Wear-Motor-Bangor-Bandana-i.300504127.11900901420?sp_atk=363552f1-9d91-4882-9b3e-b840a238884c&xptdk=363552f1-9d91-4882-9b3e-b840a238884c","null","null","null","null","null"
"1669048799-174","https://shopee.co.id/mall/brands/11042849","Seka Basics","https://shopee.co.id/sekabasicsofficial","","109","100% (hitungan menit)","48RB","4.8 (27,2RB penilaian)","15 bulan lalu","null","KOTA BANDUNG","67%offSeka Basics - Kaos Polos Jet Black 30sPilih 3, bayar Rp138.900Rp150.000Rp49.50010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Seka-Basics-Kaos-Polos-Jet-Black-30s-i.521965156.10539521556?sp_atk=91092b26-4fa9-4555-a884-7d66cfe8b633&xptdk=91092b26-4fa9-4555-a884-7d66cfe8b633","null","null","null","null","null"
"1669048822-175","https://shopee.co.id/mall/brands/11042849","Seasoninmotion","https://shopee.co.id/seasoninmotion_21","","260","80% (hitungan jam)","30,1RB","4.8 (3,4RB penilaian)","3 tahun lalu","null","KAB. BANDUNG","60%offSEASONINMOTION Tshirt Kaos Pria Long Sleeve CHEST POCKET DJONDiskon Rp2,5RBPilih 2, bayar Rp140.000Rp74.000 - Rp185.00040 TerjualKAB. BANDUNG","https://shopee.co.id/SEASONINMOTION-Tshirt-Kaos-Pria-Long-Sleeve-CHEST-POCKET-DJON-i.162002210.11660126086?sp_atk=5bf8ee9f-d75b-4f62-8469-34aaabae3ca4&xptdk=5bf8ee9f-d75b-4f62-8469-34aaabae3ca4","null","null","null","null","null"
"1669048849-176","https://shopee.co.id/mall/brands/11042849","Se-Indonesia","https://shopee.co.id/official.seindonesia","","36","27% (hitungan jam)","11%","1,9RB","4.9 (696 penilaian)","null","KOTA JAKARTA UTARA","48%offSEINDONESIA Rok Lilit (Bundling / Satuan)Rp120.000Rp62.400622 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/SEINDONESIA-Rok-Lilit-(Bundling-Satuan)-i.234708637.7562249513?sp_atk=c115a0a4-9ae0-4bfe-90f7-e56778aa1777&xptdk=c115a0a4-9ae0-4bfe-90f7-e56778aa1777","null","null","null","null","null"
"1669048875-177","https://shopee.co.id/mall/brands/11042849","Screamous","https://shopee.co.id/screamous","","2,3RB","96% (hitungan jam)","1,2JT","4.8 (909,9RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","56%offScreamous Jacket Harrington CLETO BLACKDiskon Rp7,5RBMurah LebayRp495.000Rp220.00010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Screamous-Jacket-Harrington-CLETO-BLACK-i.47422788.7256915852?sp_atk=76de7dd2-c71a-4445-9d1b-49f85a7720c7&xptdk=76de7dd2-c71a-4445-9d1b-49f85a7720c7","null","null","null","null","null"
"1669048898-178","https://shopee.co.id/mall/brands/11042849","Scratchline","https://shopee.co.id/scratchlinesupply","","99","97% (hitungan jam)","32,1RB","4.8 (9,1RB penilaian)","31 bulan lalu","null","KOTA BANDUNG","51%offScratchline T-Shirt Existance BlackDiskon Rp5RBKombo HematRp140.000Rp69.0001,3RB TerjualKOTA BANDUNG","https://shopee.co.id/Scratchline-T-Shirt-Existance-Black-i.243577090.9103026039?sp_atk=3d67c4a7-2086-4174-b8d7-c3ee1cecb0fd&xptdk=3d67c4a7-2086-4174-b8d7-c3ee1cecb0fd","null","null","null","null","null"
"1669048922-179","https://shopee.co.id/mall/brands/11042849","Scommer","https://shopee.co.id/scommer.co","","344","94% (hitungan jam)","5,4RB","4.7 (2,9RB penilaian)","3 tahun lalu","null","KOTA METRO","41%offScommer T-shirt SCO BORDIR - Black, White, Maroon, Navy, Brown, Yellow, Green Bootle, Green, MustardDiskon Rp2RBPilih 2, bayar Rp170.000Rp88.500 - Rp150.000116 TerjualKOTA METRO","https://shopee.co.id/Scommer-T-shirt-SCO-BORDIR-Black-White-Maroon-Navy-Brown-Yellow-Green-Bootle-Green-Mustard-i.172767210.7371375297?sp_atk=27f7425c-7a03-45c5-b1d2-db52827aae32&xptdk=27f7425c-7a03-45c5-b1d2-db52827aae32","null","null","null","null","null"
"1669048948-180","https://shopee.co.id/mall/brands/11042849","Schouten","https://shopee.co.id/schouten","","89","97% (hitungan jam)","40,4RB","4.8 (22,4RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","53%offSCHOUTEN Kemeja Pria Sanghai Panjang Linen All VariantDiskon Rp7,5RBPilih 2, diskon Rp10.000Rp319.000Rp149.0006RB TerjualKOTA BANDUNG","https://shopee.co.id/SCHOUTEN-Kemeja-Pria-Sanghai-Panjang-Linen-All-Variant-i.7077172.5310618634?sp_atk=3172f36d-897d-4038-924d-43c297db6393&xptdk=3172f36d-897d-4038-924d-43c297db6393","null","null","null","null","null"
"1669048975-181","https://shopee.co.id/mall/brands/11042849","SCH","https://shopee.co.id/schofficialshop","","1,3RB","90% (hitungan jam)","393RB","4.9 (116,4RB penilaian)","32 bulan lalu","null","KOTA BANDUNG","50%offSch Tshirt Bios Ss Navy BlueRp189.000Rp94.500500 TerjualKOTA BANDUNG","https://shopee.co.id/Sch-Tshirt-Bios-Ss-Navy-Blue-i.236988816.7791822148?sp_atk=31a8cc68-c390-4e67-9ac8-086ac73b266e&xptdk=31a8cc68-c390-4e67-9ac8-086ac73b266e","null","null","null","null","null"
"1669049000-182","https://shopee.co.id/mall/brands/11042849","SayHey","https://shopee.co.id/sayheyholidayclub","","118","99% (hitungan menit)","8,6RB","4.9 (1,6RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","30%offSayhey Holidayclub - Fun Ride Cycling Cap | Topi Sepeda Premium | Topi Olahraga Premium | Topi GowesDiskon Rp5RBRp185.000Rp129.500278 TerjualKOTA BANDUNG","https://shopee.co.id/Sayhey-Holidayclub-Fun-Ride-Cycling-Cap-Topi-Sepeda-Premium-Topi-Olahraga-Premium-Topi-Gowes-i.17664729.7957735414?sp_atk=2ed5ce99-8062-4a23-8467-9de2f9ccb95d&xptdk=2ed5ce99-8062-4a23-8467-9de2f9ccb95d","null","null","null","null","null"
"1669049024-183","https://shopee.co.id/mall/brands/11042849","Sarinah","https://shopee.co.id/sarinahonline","","860","56% (hitungan jam)","8,4RB","4.8 (2,6RB penilaian)","5 tahun lalu","null","KOTA JAKARTA PUSAT","Parfum ANTONIO BANDERAS GOLDEN SECRET MAN EDT ORIGINAL - 100mlRp474.00080 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Parfum-ANTONIO-BANDERAS-GOLDEN-SECRET-MAN-EDT-ORIGINAL-100ml-i.57612426.13409251134?sp_atk=016b5323-71bb-498e-9a1b-7f7483686d10&xptdk=016b5323-71bb-498e-9a1b-7f7483686d10","null","null","null","null","null"
"1669049047-184","https://shopee.co.id/mall/brands/11042849","Sarandoang","https://shopee.co.id/sarandoang.official","","50","100% (hitungan jam)","3,9RB","4.9 (859 penilaian)","33 bulan lalu","null","KOTA JAKARTA UTARA","72%offSaranDoang Kaos (Mirror) - Bersyukur PutihHadiah GratisRp180.000Rp49.9998 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/SaranDoang-Kaos-(Mirror)-Bersyukur-Putih-i.228194281.4993217062?sp_atk=0d02bd27-c544-40fe-979f-a8467f62b54d&xptdk=0d02bd27-c544-40fe-979f-a8467f62b54d","null","null","null","null","null"
"1669050023-185","https://shopee.co.id/mall/brands/11042849","Santoso","https://shopee.co.id/batiksantoso","","94","93% (hitungan jam)","669","5.0 (111 penilaian)","6 tahun lalu","null","KOTA BANDUNG","Batik Santoso Pesanan Khusus Preorder - Bendo SundaDiskon Rp5RBRp135.00019 TerjualKOTA BANDUNG","https://shopee.co.id/Batik-Santoso-Pesanan-Khusus-Preorder-Bendo-Sunda-i.12621179.7815834445?sp_atk=cdee072d-e729-4071-aadf-a6deebc5528f&xptdk=cdee072d-e729-4071-aadf-a6deebc5528f","null","null","null","null","null"
"1669050513-186","https://shopee.co.id/mall/brands/11042849","Santa Cruz","https://shopee.co.id/santacruzid","","58","60% (hitungan jam)","5,9RB","4.9 (270 penilaian)","19 bulan lalu","null","KOTA DENPASAR","Santa Cruz Classic Dot Snapback Sc1212001Rp295.00060 TerjualKOTA DENPASAR","https://shopee.co.id/Santa-Cruz-Classic-Dot-Snapback-Sc1212001-i.429071505.9395702721?sp_atk=93005719-8792-4193-8cc6-9ffc6ced2d6f&xptdk=93005719-8792-4193-8cc6-9ffc6ced2d6f","null","null","null","null","null"
"1669050564-187","https://shopee.co.id/mall/brands/11042849","Sant.ai","https://shopee.co.id/sant.ai","","1,3RB","92% (hitungan jam)","115,8RB","4.7 (220,6RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","50%offSantai Masker Kain Motif Pria Wanita ( MASK-0073 )Rp50.000Rp25.0002,1RB TerjualKAB. BANDUNG","https://shopee.co.id/Santai-Masker-Kain-Motif-Pria-Wanita-(-MASK-0073-)-i.123755922.4545861534?sp_atk=e3aee77c-26a4-41da-8e9e-a9e784665b55&xptdk=e3aee77c-26a4-41da-8e9e-a9e784665b55","null","null","null","null","null"
"1669050588-188","https://shopee.co.id/mall/brands/11042849","Samsara","https://shopee.co.id/samsara.id","","98","53% (hitungan menit)","55","5.0 (8 penilaian)","5 tahun lalu","null","KAB. BANDUNG","28%offSAMSARA Batik Blouse Lengan Pendek Wanita Anika - BrownRp299.900Rp214.9301 TerjualKAB. BANDUNG","https://shopee.co.id/SAMSARA-Batik-Blouse-Lengan-Pendek-Wanita-Anika-Brown-i.58883702.19215113833?sp_atk=a78e6a3c-33fc-4b04-9019-ed3f0b672634&xptdk=a78e6a3c-33fc-4b04-9019-ed3f0b672634","null","null","null","null","null"
"1669050614-189","https://shopee.co.id/mall/brands/11042849","Salt n Pepper","https://shopee.co.id/saltnpepperofficialshop","","310","75% (hitungan jam)","26,4RB","4.8 (13,6RB penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","Salt n Pepper Masker Kain Black Sport Limited Edition 007Rp35.00035 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Salt-n-Pepper-Masker-Kain-Black-Sport-Limited-Edition-007-i.122570475.9632411156?sp_atk=342fea31-7c82-44a1-aee8-c9ac9a9225a0&xptdk=342fea31-7c82-44a1-aee8-c9ac9a9225a0","null","null","null","null","null"
"1669050641-190","https://shopee.co.id/mall/brands/11042849","16 Denim Scale","https://shopee.co.id/sixteen__xvi","","113","45% (hitungan jam)","10RB","4.8 (3,1RB penilaian)","5 tahun lalu","null","KOTA CIMAHI","68%offSixteen pullover BallastRp472.500Rp149.000108 TerjualKOTA CIMAHI","https://shopee.co.id/Sixteen-pullover-Ballast-i.45248040.3827796955?sp_atk=2b615f60-e424-4053-9e0d-1bd18b391e1c&xptdk=2b615f60-e424-4053-9e0d-1bd18b391e1c","null","null","null","null","null"
"1669050668-191","https://shopee.co.id/mall/brands/11042849","Ryusei","https://shopee.co.id/ryuseiofficial","","1,4RB","98% (hitungan jam)","187,2RB","4.8 (72,6RB penilaian)","5 tahun lalu","null","KAB. BANDUNG BARAT","58%off[PAKET] Boxer Black Collection (3 pcs)Rp160.000 - Rp190.0003,2RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/-PAKET-Boxer-Black-Collection-(3-pcs)-i.59350850.8527433907?sp_atk=93c9b9b4-4b54-4312-8475-c91eb96e6dff&xptdk=93c9b9b4-4b54-4312-8475-c91eb96e6dff","null","null","null","null","null"
"1669050698-192","https://shopee.co.id/mall/brands/11042849","Russ & Co","https://shopee.co.id/russ.co.id","","924","99% (hitungan jam)","505,4RB","4.8 (342,1RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","54%offRuss Sweater Crewneck Autocracy CreamDiskon 60%Pilih 2, diskon Rp5.000Rp185.000 - Rp195.00010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Russ-Sweater-Crewneck-Autocracy-Cream-i.106751288.7058398192?sp_atk=db7865d1-eb9a-471a-bb5b-dee9c9795706&xptdk=db7865d1-eb9a-471a-bb5b-dee9c9795706","null","null","null","null","null"
"1669050723-193","https://shopee.co.id/mall/brands/11042849","Rudebasic","https://shopee.co.id/rudebasic.official","","33","84% (hitungan jam)","42,3RB","4.9 (6,5RB penilaian)","3 tahun lalu","null","KOTA JAKARTA BARAT","RUDEBASIC - Joy Oversized SweaterHadiah GratisRp299.000721 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/RUDEBASIC-Joy-Oversized-Sweater-i.192013652.9354942124?sp_atk=1cc7433b-c150-41c6-a012-9f9e09d8cdc8&xptdk=1cc7433b-c150-41c6-a012-9f9e09d8cdc8","null","null","null","null","null"
